                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.73629,                 4.1691,                 1.0434,                0.00208,                0.62341,                0.03903,                0.02934,                0.58332,                 3.7024,                    1.1,                 0.0964,                 0.0004,                 0.0004
                      1,                0.67217,                 3.9342,                 1.0463,                0.00218,                0.64127,                0.05205,                0.04212,                0.51316,                 3.6831,                 1.0426,               0.091897,             0.00089703,             0.00089703
                      2,                0.60787,                 3.8638,                0.98636,                  0.002,                0.57381,                0.11097,                 0.0884,                 0.5208,                 3.6591,                 1.0207,               0.087391,              0.0013908,              0.0013908
                      3,                0.53827,                 3.6829,                0.96215,                0.00261,                 0.6377,                0.21991,                0.17843,                0.47306,                 3.6195,                0.92942,               0.082881,              0.0018812,              0.0018812
                      4,                0.58969,                 3.4561,                0.95849,                0.00263,                0.66786,                0.24285,                0.20726,                0.49322,                 3.4625,                0.90297,               0.078368,              0.0023683,              0.0023683
                      5,                0.60842,                 3.2818,                 1.0174,                0.00456,                0.71389,                  0.257,                0.22206,                0.47539,                 3.2772,                0.88359,               0.073852,              0.0028522,              0.0028522
                      6,                0.61795,                 3.0945,                0.99481,                0.00873,                0.84127,                0.33316,                0.29135,                0.52571,                 3.2121,                 0.9213,               0.069333,              0.0033327,              0.0033327
                      7,                0.65381,                 2.9393,                0.97798,                 0.0097,                0.88889,                0.42313,                0.36618,                0.50451,                 3.1849,                0.91037,                0.06481,              0.0038099,              0.0038099
                      8,                0.67528,                 2.7712,                0.99823,                0.01028,                0.96825,                0.47926,                0.41967,                 0.4613,                      3,                0.87487,               0.060284,              0.0042838,              0.0042838
                      9,                0.62638,                 2.3581,                0.98793,                0.01173,                0.96825,                0.58925,                0.50484,                0.49998,                  2.983,                0.91924,               0.055754,              0.0047545,              0.0047545
                     10,                0.69364,                 2.1903,                 1.0207,                0.73755,                0.30372,                0.61778,                0.54844,                 0.4642,                 2.9174,                0.87639,               0.051222,              0.0052218,              0.0052218
                     11,                0.71292,                 2.0513,                 1.0201,                0.99164,                0.28571,                0.57744,                0.51314,                0.50526,                 2.5063,                0.90289,               0.046686,              0.0056858,              0.0056858
                     12,                0.63088,                 2.0508,                0.92722,                      1,                0.12162,                0.67348,                0.58574,                0.52054,                 2.7881,                0.93094,               0.042147,              0.0061466,              0.0061466
                     13,                0.68428,                 2.0053,                 1.0226,                0.92538,                0.28571,                0.66924,                0.55446,                0.54816,                 2.7092,                 1.0331,               0.037604,               0.006604,               0.006604
                     14,                0.65322,                 1.9225,                  1.008,                0.85572,                0.20524,                 0.7562,                0.65079,                0.53526,                  2.584,                0.95231,               0.033058,              0.0070581,              0.0070581
                     15,                0.66538,                 2.0391,                 1.0068,                0.98472,                0.31241,                0.69632,                0.60582,                0.52276,                 2.4208,                0.91414,               0.028509,              0.0075089,              0.0075089
                     16,                0.68402,                 1.7308,                  1.001,                0.98991,                0.32132,                0.75378,                0.64047,                0.61877,                  2.402,                 1.0086,               0.023956,              0.0079565,              0.0079565
                     17,                0.68863,                 1.8277,                0.96385,                0.77217,                0.60847,                 0.7864,                0.64891,                0.66155,                 2.0363,                 1.0329,               0.019401,              0.0084007,              0.0084007
                     18,                0.61895,                 1.6903,                 1.0079,                0.84652,                0.42925,                 0.8394,                0.73284,                0.54054,                 2.2388,                0.95416,               0.014842,              0.0088416,              0.0088416
                     19,                 0.6641,                 1.8287,                 1.0239,                0.73853,                0.46318,                0.73146,                0.60722,                0.57954,                  2.172,                 1.0105,               0.010279,              0.0092793,              0.0092793
                     20,                0.70246,                 1.9271,                0.99925,                0.63298,                0.66337,                0.77683,                0.61673,                0.63848,                 2.0983,                 1.0628,                0.00934,                0.00934,                0.00934
                     21,                0.64367,                 1.4974,                0.96203,                0.57122,                0.65383,                 0.8131,                   0.66,                0.68305,                 2.3947,                 1.1446,                0.00934,                0.00934,                0.00934
                     22,                0.78937,                 1.7568,                 1.0479,                0.64535,                0.82262,                0.82247,                0.67257,                0.70879,                 2.2562,                 1.1038,               0.009307,               0.009307,               0.009307
                     23,                0.71276,                 1.6359,                 1.0413,                0.73004,                0.68803,                0.84699,                0.69522,                  0.662,                 1.6585,                 1.0663,               0.009274,               0.009274,               0.009274
                     24,                0.68056,                 1.6246,                 0.9819,                 0.6355,                0.79859,                0.80327,                0.66805,                 0.6577,                 1.7516,                  1.137,               0.009241,               0.009241,               0.009241
                     25,                0.80356,                 1.8568,                 1.0612,                0.68166,                0.81957,                0.83195,                0.68354,                0.66367,                 1.7512,                 1.0996,               0.009208,               0.009208,               0.009208
                     26,                0.76233,                 1.8058,                 1.0492,                0.60887,                0.68511,                0.63489,                0.52248,                0.67666,                 2.2825,                 1.0694,               0.009175,               0.009175,               0.009175
                     27,                0.78824,                 1.8726,                 1.0655,                0.77093,                0.65688,                0.81034,                0.69924,                0.58446,                  1.754,                0.97363,               0.009142,               0.009142,               0.009142
                     28,                0.72081,                 1.6635,                 1.0173,                0.59332,                0.75472,                0.75202,                0.63534,                0.63936,                 1.9701,                 1.0253,               0.009109,               0.009109,               0.009109
                     29,                0.69587,                  1.639,                 1.0043,                0.74123,                0.69121,                0.78899,                0.65731,                0.64847,                 1.6686,                 1.0318,               0.009076,               0.009076,               0.009076
